kph watts
8.6 98.2
9.6 118.7
9.7 117.1
9.9 121.3
10.2 126
10.4 128.1
10.7 127.5
10.8 114.5
10.9 139.3
11.5 139.1
11.8 147.2
12 151.3
12 153.2
12.2 139.8
12.2 151
12.7 144
12.8 164
13.1 158.4
13.1 171.2
13.1 171.3
13.3 148.3
13.4 173.5
14.1 177.4
14.2 164.6
14.3 198.5
14.3 185.8
14.5 194.5
14.9 194.2
15.4 191
16 190.3
16.2 199.2
16.7 200.1
16.8 228
17.2 234.6
17.4 230.1
17.4 232.9
17.6 233.6
17.6 233.8
17.6 241.1
17.7 235.7
17.7 242.4
17.9 247.1
18.4 270.5
18.5 239.5
19 278.7
19.1 246.5
19.1 258.3
19.2 267
19.2 267.3
19.4 249.5
19.5 267.3
19.9 272.8
20 277.8
20.1 290.4
20.7 307.5
20.8 271.9
20.9 284.6
21 302.4
21.7 323.9
21.9 319.9
22 324.7
22 311.3
22.1 317
22.3 329.9
22.3 346.7
22.3 322.3
22.6 340.1
22.7 350.2
23.4 340
23.5 348.8
23.6 311.1
23.8 343
23.8 373.9
23.8 352.7
24.2 369.5
24.2 361
24.6 367.9
24.6 372
24.9 379.9
25.4 375.8
25.4 387.6
25.9 393.4
26.3 400.7
26.6 401.5
26.9 408.1
27 417.1
27.3 431.4
27.4 407.1
27.8 433.6
28.4 427.7
28.5 445
28.5 442.4
28.5 456.5
28.7 465.3
29 464.2
29.3 472.6
29.4 475.9
29.4 437.1
29.5 463.3
29.7 479.6
30.1 480.5
30.4 508.5
30.4 483.5
30.7 503.5
31.5 514.1
