Posted Holiday Speed
50 N 56
50 Y 46.6
50 Y 39
50 Y 46.2
50 Y 42.5
50 N 55.6
50 Y 47.1
50 N 49.1
50 Y 46
50 Y 47.3
50 Y 37.8
50 Y 39.6
50 N 49.2
50 Y 43.2
50 Y 46.2
50 Y 46.1
50 Y 45.5
50 Y 44
50 Y 45.5
50 Y 45
50 Y 47.1
50 Y 42.2
50 Y 47.6
50 Y 49.7
50 Y 48.8
50 Y 46.2
50 Y 44.3
50 Y 47.1
50 Y 46.4
50 Y 44.4
50 Y 50.6
50 Y 44.3
50 Y 45.5
50 Y 40
50 N 53.6
50 Y 44.7
50 Y 50.5
50 Y 47.6
50 Y 43.1
50 Y 44.2
50 Y 44.5
50 Y 41.3
50 Y 47.3
50 Y 51.2
50 Y 40.6
50 N 53.5
50 Y 43.5
50 Y 44.8
50 Y 43.9
50 Y 45.4
50 N 51.3
50 Y 40.3
50 Y 43.3
50 N 50.7
50 N 55.1
50 Y 43.7
50 N 55.4
50 Y 48.7
50 Y 47.6
50 Y 47.2
50 Y 46.2
50 Y 42.2
50 Y 47.7
50 Y 49.6
50 Y 45.8
50 Y 48.2
50 Y 41
50 Y 46.4
50 Y 42.8
50 Y 41.9
50 Y 41.8
50 Y 41.3
50 Y 50.4
50 Y 46.9
50 Y 52
50 Y 44.3
50 Y 45.7
50 Y 43.4
50 Y 42.9
50 Y 50.6
50 Y 48
50 N 54.3
50 Y 41.6
50 Y 44.4
50 Y 47.3
50 Y 46.7
50 Y 46.3
50 Y 40.7
50 Y 44.7
50 Y 44.9
50 Y 48.2
50 N 52.2
50 Y 49
50 N 54.7
50 Y 46
50 Y 47.7
50 N 52.5
50 Y 45.7
50 Y 45.4
50 Y 39.8
50 Y 43.3
50 Y 46.5
50 Y 43.3
50 Y 45.3
50 Y 45.9
50 Y 47
50 Y 45.4
50 Y 43.2
50 Y 43.6
50 Y 46
50 Y 45.9
50 Y 49.3
50 N 54.3
50 Y 44.3
50 Y 45.5
50 Y 42.4
50 Y 50.6
50 Y 42
50 Y 45.2
50 N 49.6
50 Y 44
50 Y 43.5
50 Y 40.6
50 N 51.5
50 Y 43.4
50 Y 46.1
50 Y 43.4
50 Y 43.8
50 Y 47.4
50 N 55.7
50 Y 41.4
50 Y 46.5
50 Y 45.9
50 Y 48.9
50 Y 42.8
50 Y 45
50 N 54.9
50 Y 42.8
50 N 53.2
50 N 56.1
50 Y 38.9
50 Y 48.5
50 Y 45.9
50 Y 44.6
50 Y 47.2
50 Y 44.1
50 Y 43.2
50 Y 40.8
50 Y 46.2
50 Y 47.3
50 Y 51.1
50 Y 47.1
50 Y 46.7
50 Y 47
50 Y 50
50 Y 45.3
50 Y 48.9
50 N 42.9
50 Y 49
50 Y 47
50 Y 44.7
50 Y 42.8
50 Y 46.4
50 N 55.3
50 Y 39.5
50 N 59.4
50 N 51.9
50 Y 45
50 Y 44.1
50 Y 48.7
50 N 54.9
50 Y 45.9
50 Y 45
50 Y 45
50 Y 46.9
50 Y 45.4
50 Y 42.1
50 Y 41.9
50 Y 39.7
50 Y 46.6
50 Y 50
50 Y 40.7
50 N 52.8
50 Y 46
50 Y 43.5
50 Y 41.3
50 Y 41.7
50 Y 48.2
50 Y 49.3
50 Y 43.3
50 Y 41.6
50 Y 47.1
50 Y 50.4
50 Y 50.9
50 Y 51.9
50 Y 38.3
50 Y 47.9
50 N 52.3
50 Y 48.2
50 Y 44.4
50 N 51.3
50 Y 42.2
50 Y 42.9
50 Y 42.2
50 Y 47.6
50 N 48.1
50 Y 52.1
50 Y 45.9
50 Y 47.5
50 N 56.9
50 Y 42.9
60 Y 59.5
60 Y 56
60 Y 53.1
60 Y 54.2
60 Y 52.9
60 Y 51.4
60 Y 53.5
60 Y 55.8
60 N 60.2
60 Y 54.3
60 N 61.9
60 N 65.8
60 Y 56.9
60 Y 52.6
60 Y 57.5
60 Y 52.9
60 N 61.7
60 Y 54.3
60 Y 53.2
60 Y 52.5
60 Y 47
60 Y 51.5
60 Y 54.1
70 N 73
70 Y 65.6
70 Y 61.5
70 Y 60.1
70 Y 63.5
70 Y 59.7
70 Y 65
70 Y 62.6
70 Y 62.3
70 Y 68.6
70 Y 66
70 Y 65.6
70 Y 63.2
70 Y 60
70 Y 60.5
70 Y 62.3
70 Y 66.8
70 Y 62
70 Y 65.4
70 Y 64
70 Y 64.6
70 Y 64.5
70 Y 61.4
70 N 73.8
70 Y 68.7
