height	sex	ethnicity
1.78	F	European
1.67	F	European
1.7	F	European
1.76	F	European
1.65	F	European
1.58	F	European
1.61	F	European
1.59	F	European
1.61	F	European
1.57	F	European
1.6	F	Maori
1.6	F	Maori
1.62	F	Maori
1.65	F	Maori
1.66	F	Maori
1.67	F	Maori
1.64	F	Maori
1.71	F	Maori
1.55	F	Maori
1.66	F	Maori
1.7	F	Polynesian
1.61	F	Polynesian
1.57	F	Polynesian
1.62	F	Polynesian
1.57	F	Polynesian
1.66	F	Polynesian
1.69	F	Polynesian
1.7	F	Polynesian
1.66	F	Polynesian
1.65	F	Polynesian
1.62	F	Other
1.54	F	Other
1.55	F	Other
1.5	F	Other
1.62	F	Other
1.61	F	Other
1.62	F	Other
1.6	F	Other
1.7	F	Other
1.49	F	Other
1.79	M	European
1.76	M	European
1.86	M	European
1.87	M	European
1.76	M	European
1.68	M	European
1.78	M	European
1.75	M	European
1.86	M	European
1.74	M	European
1.76	M	Maori
1.76	M	Maori
1.8	M	Maori
1.83	M	Maori
1.79	M	Maori
1.7	M	Maori
1.76	M	Maori
1.75	M	Maori
1.82	M	Maori
1.8	M	Maori
1.71	M	Polynesian
1.71	M	Polynesian
1.73	M	Polynesian
1.78	M	Polynesian
1.83	M	Polynesian
1.83	M	Polynesian
1.73	M	Polynesian
1.81	M	Polynesian
1.69	M	Polynesian
1.73	M	Polynesian
1.7	M	Other
1.72	M	Other
1.65	M	Other
1.68	M	Other
1.78	M	Other
1.7	M	Other
1.76	M	Other
1.8	M	Other
1.86	M	Other
1.82	M	Other
